r,m,nu,rho,P
6.2625e-01,8.4713e-04,-4.3179e-01,8.2229e-04,6.8470e-05
6.3000e-01,8.6242e-04,-4.3177e-01,8.2225e-04,6.8461e-05
6.3375e-01,8.7789e-04,-4.3175e-01,8.2222e-04,6.8452e-05
6.3750e-01,8.9354e-04,-4.3173e-01,8.2218e-04,6.8443e-05
6.4125e-01,9.0938e-04,-4.3171e-01,8.2215e-04,6.8433e-05
6.4500e-01,9.2541e-04,-4.3169e-01,8.2212e-04,6.8424e-05
6.4875e-01,9.4162e-04,-4.3166e-01,8.2208e-04,6.8415e-05
6.5250e-01,9.5802e-04,-4.3164e-01,8.2205e-04,6.8405e-05
6.5625e-01,9.7460e-04,-4.3162e-01,8.2201e-04,6.8396e-05
6.6000e-01,9.9138e-04,-4.3160e-01,8.2197e-04,6.8386e-05
6.6375e-01,1.0084e-03,-4.3158e-01,8.2194e-04,6.8377e-05
6.6750e-01,1.0255e-03,-4.3156e-01,8.2190e-04,6.8367e-05
6.7125e-01,1.0429e-03,-4.3154e-01,8.2187e-04,6.8358e-05
6.7500e-01,1.0604e-03,-4.3151e-01,8.2183e-04,6.8348e-05
6.7875e-01,1.0782e-03,-4.3149e-01,8.2179e-04,6.8338e-05
6.8250e-01,1.0961e-03,-4.3147e-01,8.2176e-04,6.8328e-05
6.8625e-01,1.1142e-03,-4.3145e-01,8.2172e-04,6.8318e-05
6.9000e-01,1.1326e-03,-4.3143e-01,8.2168e-04,6.8308e-05
6.9375e-01,1.1511e-03,-4.3140e-01,8.2165e-04,6.8299e-05
6.9750e-01,1.1698e-03,-4.3138e-01,8.2161e-04,6.8288e-05
7.0125e-01,1.1888e-03,-4.3136e-01,8.2157e-04,6.8278e-05
7.0500e-01,1.2079e-03,-4.3134e-01,8.2153e-04,6.8268e-05
7.0875e-01,1.2273e-03,-4.3131e-01,8.2149e-04,6.8258e-05
7.1250e-01,1.2468e-03,-4.3129e-01,8.2146e-04,6.8248e-05
7.1625e-01,1.2666e-03,-4.3127e-01,8.2142e-04,6.8238e-05
7.2000e-01,1.2865e-03,-4.3124e-01,8.2138e-04,6.8227e-05
7.2375e-01,1.3067e-03,-4.3122e-01,8.2134e-04,6.8217e-05
7.2750e-01,1.3271e-03,-4.3120e-01,8.2130e-04,6.8206e-05
7.3125e-01,1.3477e-03,-4.3117e-01,8.2126e-04,6.8196e-05
7.3500e-01,1.3685e-03,-4.3115e-01,8.2122e-04,6.8185e-05
7.3875e-01,1.3895e-03,-4.3113e-01,8.2118e-04,6.8175e-05
7.4250e-01,1.4107e-03,-4.3110e-01,8.2114e-04,6.8164e-05
7.4625e-01,1.4321e-03,-4.3108e-01,8.2110e-04,6.8153e-05
7.5000e-01,1.4538e-03,-4.3105e-01,8.2106e-04,6.8142e-05
7.5375e-01,1.4757e-03,-4.3103e-01,8.2102e-04,6.8132e-05
7.5750e-01,1.4978e-03,-4.3100e-01,8.2098e-04,6.8121e-05
7.6125e-01,1.5201e-03,-4.3098e-01,8.2094e-04,6.8110e-05
7.6500e-01,1.5426e-03,-4.3096e-01,8.2090e-04,6.8099e-05
7.6875e-01,1.5653e-03,-4.3093e-01,8.2086e-04,6.8088e-05
7.7250e-01,1.5883e-03,-4.3091e-01,8.2081e-04,6.8077e-05
7.7625e-01,1.6115e-03,-4.3088e-01,8.2077e-04,6.8066e-05
7.8000e-01,1.6349e-03,-4.3085e-01,8.2073e-04,6.8054e-05
7.8375e-01,1.6586e-03,-4.3083e-01,8.2069e-04,6.8043e-05
7.8750e-01,1.6824e-03,-4.3080e-01,8.2065e-04,6.8032e-05
7.9125e-01,1.7065e-03,-4.3078e-01,8.2060e-04,6.8020e-05
7.9500e-01,1.7309e-03,-4.3075e-01,8.2056e-04,6.8009e-05
7.9875e-01,1.7554e-03,-4.3073e-01,8.2052e-04,6.7998e-05
8.0250e-01,1.7802e-03,-4.3070e-01,8.2047e-04,6.7986e-05
8.0625e-01,1.8052e-03,-4.3068e-01,8.2043e-04,6.7974e-05
8.1000e-01,1.8305e-03,-4.3065e-01,8.2039e-04,6.7963e-05
8.1375e-01,1.8559e-03,-4.3062e-01,8.2034e-04,6.7951e-05
8.1750e-01,1.8817e-03,-4.3060e-01,8.2030e-04,6.7939e-05
8.2125e-01,1.9076e-03,-4.3057e-01,8.2025e-04,6.7928e-05
8.2500e-01,1.9338e-03,-4.3054e-01,8.2021e-04,6.7916e-05
8.2875e-01,1.9602e-03,-4.3052e-01,8.2016e-04,6.7904e-05
8.3250e-01,1.9869e-03,-4.3049e-01,8.2012e-04,6.7892e-05
8.3625e-01,2.0138e-03,-4.3046e-01,8.2007e-04,6.7880e-05
8.4000e-01,2.0409e-03,-4.3044e-01,8.2003e-04,6.7868e-05
8.4375e-01,2.0683e-03,-4.3041e-01,8.1998e-04,6.7856e-05
