r,m,nu,rho,P
5.8500e-01,1.6300e-03,-8.4741e-01,1.9402e-03,3.6401e-04
5.8875e-01,1.6615e-03,-8.4735e-01,1.9401e-03,3.6395e-04
5.9250e-01,1.6934e-03,-8.4729e-01,1.9400e-03,3.6388e-04
5.9625e-01,1.7257e-03,-8.4724e-01,1.9399e-03,3.6381e-04
6.0000e-01,1.7584e-03,-8.4718e-01,1.9398e-03,3.6375e-04
6.0375e-01,1.7915e-03,-8.4712e-01,1.9397e-03,3.6368e-04
6.0750e-01,1.8250e-03,-8.4706e-01,1.9396e-03,3.6362e-04
6.1125e-01,1.8590e-03,-8.4700e-01,1.9394e-03,3.6355e-04
6.1500e-01,1.8933e-03,-8.4695e-01,1.9393e-03,3.6348e-04
6.1875e-01,1.9281e-03,-8.4689e-01,1.9392e-03,3.6341e-04
6.2250e-01,1.9633e-03,-8.4683e-01,1.9391e-03,3.6334e-04
6.2625e-01,1.9989e-03,-8.4677e-01,1.9390e-03,3.6327e-04
6.3000e-01,2.0350e-03,-8.4671e-01,1.9389e-03,3.6321e-04
6.3375e-01,2.0715e-03,-8.4665e-01,1.9387e-03,3.6314e-04
6.3750e-01,2.1084e-03,-8.4659e-01,1.9386e-03,3.6307e-04
6.4125e-01,2.1457e-03,-8.4652e-01,1.9385e-03,3.6300e-04
6.4500e-01,2.1835e-03,-8.4646e-01,1.9384e-03,3.6292e-04
6.4875e-01,2.2217e-03,-8.4640e-01,1.9382e-03,3.6285e-04
6.5250e-01,2.2604e-03,-8.4634e-01,1.9381e-03,3.6278e-04
6.5625e-01,2.2995e-03,-8.4628e-01,1.9380e-03,3.6271e-04
6.6000e-01,2.3390e-03,-8.4621e-01,1.9379e-03,3.6264e-04
6.6375e-01,2.3790e-03,-8.4615e-01,1.9377e-03,3.6256e-04
6.6750e-01,2.4195e-03,-8.4608e-01,1.9376e-03,3.6249e-04
6.7125e-01,2.4604e-03,-8.4602e-01,1.9375e-03,3.6242e-04
6.7500e-01,2.5018e-03,-8.4596e-01,1.9374e-03,3.6234e-04
6.7875e-01,2.5436e-03,-8.4589e-01,1.9372e-03,3.6227e-04
6.8250e-01,2.5859e-03,-8.4583e-01,1.9371e-03,3.6219e-04
6.8625e-01,2.6286e-03,-8.4576e-01,1.9370e-03,3.6212e-04
6.9000e-01,2.6719e-03,-8.4569e-01,1.9368e-03,3.6204e-04
6.9375e-01,2.7156e-03,-8.4563e-01,1.9367e-03,3.6196e-04
6.9750e-01,2.7597e-03,-8.4556e-01,1.9366e-03,3.6189e-04
7.0125e-01,2.8043e-03,-8.4549e-01,1.9364e-03,3.6181e-04
7.0500e-01,2.8495e-03,-8.4543e-01,1.9363e-03,3.6173e-04
7.0875e-01,2.8951e-03,-8.4536e-01,1.9362e-03,3.6166e-04
7.1250e-01,2.9411e-03,-8.4529e-01,1.9360e-03,3.6158e-04
7.1625e-01,2.9877e-03,-8.4522e-01,1.9359e-03,3.6150e-04
7.2000e-01,3.0347e-03,-8.4515e-01,1.9358e-03,3.6142e-04
7.2375e-01,3.0823e-03,-8.4508e-01,1.9356e-03,3.6134e-04
7.2750e-01,3.1303e-03,-8.4501e-01,1.9355e-03,3.6126e-04
7.3125e-01,3.1788e-03,-8.4494e-01,1.9353e-03,3.6118e-04
7.3500e-01,3.2278e-03,-8.4487e-01,1.9352e-03,3.6110e-04
7.3875e-01,3.2773e-03,-8.4480e-01,1.9351e-03,3.6102e-04
7.4250e-01,3.3274e-03,-8.4473e-01,1.9349e-03,3.6094e-04
7.4625e-01,3.3779e-03,-8.4466e-01,1.9348e-03,3.6086e-04
7.5000e-01,3.4289e-03,-8.4459e-01,1.9346e-03,3.6077e-04
7.5375e-01,3.4804e-03,-8.4452e-01,1.9345e-03,3.6069e-04
7.5750e-01,3.5325e-03,-8.4445e-01,1.9344e-03,3.6061e-04
7.6125e-01,3.5851e-03,-8.4437e-01,1.9342e-03,3.6052e-04
7.6500e-01,3.6381e-03,-8.4430e-01,1.9341e-03,3.6044e-04
7.6875e-01,3.6917e-03,-8.4423e-01,1.9339e-03,3.6036e-04
7.7250e-01,3.7458e-03,-8.4415e-01,1.9338e-03,3.6027e-04
7.7625e-01,3.8005e-03,-8.4408e-01,1.9336e-03,3.6019e-04
7.8000e-01,3.8557e-03,-8.4400e-01,1.9335e-03,3.6010e-04
7.8375e-01,3.9114e-03,-8.4393e-01,1.9333e-03,3.6001e-04
7.8750e-01,3.9676e-03,-8.4385e-01,1.9332e-03,3.5993e-04
7.9125e-01,4.0243e-03,-8.4378e-01,1.9330e-03,3.5984e-04
7.9500e-01,4.0816e-03,-8.4370e-01,1.9329e-03,3.5975e-04
7.9875e-01,4.1395e-03,-8.4363e-01,1.9327e-03,3.5967e-04
8.0250e-01,4.1979e-03,-8.4355e-01,1.9326e-03,3.5958e-04
8.0625e-01,4.2568e-03,-8.4347e-01,1.9324e-03,3.5949e-04
8.1000e-01,4.3163e-03,-8.4339e-01,1.9323e-03,3.5940e-04
8.1375e-01,4.3763e-03,-8.4332e-01,1.9321e-03,3.5931e-04
8.1750e-01,4.4368e-03,-8.4324e-01,1.9319e-03,3.5922e-04
8.2125e-01,4.4980e-03,-8.4316e-01,1.9318e-03,3.5913e-04
8.2500e-01,4.5596e-03,-8.4308e-01,1.9316e-03,3.5904e-04
8.2875e-01,4.6219e-03,-8.4300e-01,1.9315e-03,3.5895e-04
8.3250e-01,4.6847e-03,-8.4292e-01,1.9313e-03,3.5886e-04
8.3625e-01,4.7480e-03,-8.4284e-01,1.9312e-03,3.5877e-04
8.4000e-01,4.8119e-03,-8.4276e-01,1.9310e-03,3.5868e-04
8.4375e-01,4.8764e-03,-8.4268e-01,1.9308e-03,3.5858e-04
8.4750e-01,4.9415e-03,-8.4260e-01,1.9307e-03,3.5849e-04
8.5125e-01,5.0071e-03,-8.4252e-01,1.9305e-03,3.5840e-04
8.5500e-01,5.0733e-03,-8.4244e-01,1.9303e-03,3.5831e-04
8.5875e-01,5.1401e-03,-8.4236e-01,1.9302e-03,3.5821e-04
8.6250e-01,5.2075e-03,-8.4227e-01,1.9300e-03,3.5812e-04
8.6625e-01,5.2754e-03,-8.4219e-01,1.9299e-03,3.5802e-04
8.7000e-01,5.3440e-03,-8.4211e-01,1.9297e-03,3.5793e-04
8.7375e-01,5.4131e-03,-8.4202e-01,1.9295e-03,3.5783e-04
8.7750e-01,5.4828e-03,-8.4194e-01,1.9294e-03,3.5774e-04
8.8125e-01,5.5531e-03,-8.4186e-01,1.9292e-03,3.5764e-04
8.8500e-01,5.6240e-03,-8.4177e-01,1.9290e-03,3.5754e-04
8.8875e-01,5.6955e-03,-8.4169e-01,1.9289e-03,3.5745e-04
8.9250e-01,5.7676e-03,-8.4160e-01,1.9287e-03,3.5735e-04
8.9625e-01,5.8403e-03,-8.4151e-01,1.9285e-03,3.5725e-04
9.0000e-01,5.9136e-03,-8.4143e-01,1.9283e-03,3.5715e-04
9.0375e-01,5.9875e-03,-8.4134e-01,1.9282e-03,3.5705e-04
9.0750e-01,6.0620e-03,-8.4126e-01,1.9280e-03,3.5695e-04
9.1125e-01,6.1372e-03,-8.4117e-01,1.9278e-03,3.5686e-04
9.1500e-01,6.2129e-03,-8.4108e-01,1.9276e-03,3.5676e-04
9.1875e-01,6.2893e-03,-8.4099e-01,1.9275e-03,3.5666e-04
9.2250e-01,6.3663e-03,-8.4091e-01,1.9273e-03,3.5655e-04
9.2625e-01,6.4439e-03,-8.4082e-01,1.9271e-03,3.5645e-04
9.3000e-01,6.5221e-03,-8.4073e-01,1.9269e-03,3.5635e-04
9.3375e-01,6.6009e-03,-8.4064e-01,1.9268e-03,3.5625e-04
9.3750e-01,6.6804e-03,-8.4055e-01,1.9266e-03,3.5615e-04
9.4125e-01,6.7605e-03,-8.4046e-01,1.9264e-03,3.5605e-04
9.4500e-01,6.8413e-03,-8.4037e-01,1.9262e-03,3.5594e-04
9.4875e-01,6.9226e-03,-8.4028e-01,1.9260e-03,3.5584e-04
9.5250e-01,7.0047e-03,-8.4019e-01,1.9259e-03,3.5573e-04
9.5625e-01,7.0873e-03,-8.4010e-01,1.9257e-03,3.5563e-04
9.6000e-01,7.1706e-03,-8.4000e-01,1.9255e-03,3.5553e-04
9.6375e-01,7.2546e-03,-8.3991e-01,1.9253e-03,3.5542e-04
9.6750e-01,7.3392e-03,-8.3982e-01,1.9251e-03,3.5532e-04
9.7125e-01,7.4244e-03,-8.3973e-01,1.9249e-03,3.5521e-04
9.7500e-01,7.5103e-03,-8.3963e-01,1.9248e-03,3.5510e-04
9.7875e-01,7.5968e-03,-8.3954e-01,1.9246e-03,3.5500e-04
9.8250e-01,7.6841e-03,-8.3945e-01,1.9244e-03,3.5489e-04
9.8625e-01,7.7719e-03,-8.3935e-01,1.9242e-03,3.5478e-04
9.9000e-01,7.8605e-03,-8.3926e-01,1.9240e-03,3.5467e-04
9.9375e-01,7.9497e-03,-8.3916e-01,1.9238e-03,3.5457e-04
9.9750e-01,8.0395e-03,-8.3907e-01,1.9236e-03,3.5446e-04
1.0013e+00,8.1300e-03,-8.3897e-01,1.9234e-03,3.5435e-04
1.0050e+00,8.2212e-03,-8.3888e-01,1.9232e-03,3.5424e-04
1.0088e+00,8.3131e-03,-8.3878e-01,1.9231e-03,3.5413e-04
1.0125e+00,8.4057e-03,-8.3868e-01,1.9229e-03,3.5402e-04
1.0163e+00,8.4989e-03,-8.3859e-01,1.9227e-03,3.5391e-04
1.0200e+00,8.5928e-03,-8.3849e-01,1.9225e-03,3.5380e-04
1.0238e+00,8.6874e-03,-8.3839e-01,1.9223e-03,3.5369e-04
1.0275e+00,8.7827e-03,-8.3829e-01,1.9221e-03,3.5358e-04
1.0313e+00,8.8787e-03,-8.3819e-01,1.9219e-03,3.5346e-04
1.0350e+00,8.9753e-03,-8.3809e-01,1.9217e-03,3.5335e-04
1.0388e+00,9.0727e-03,-8.3800e-01,1.9215e-03,3.5324e-04
1.0425e+00,9.1707e-03,-8.3790e-01,1.9213e-03,3.5313e-04
1.0463e+00,9.2695e-03,-8.3780e-01,1.9211e-03,3.5301e-04
1.0500e+00,9.3689e-03,-8.3770e-01,1.9209e-03,3.5290e-04
1.0538e+00,9.4691e-03,-8.3760e-01,1.9207e-03,3.5278e-04
1.0575e+00,9.5699e-03,-8.3749e-01,1.9205e-03,3.5267e-04
1.0613e+00,9.6715e-03,-8.3739e-01,1.9203e-03,3.5255e-04
1.0650e+00,9.7738e-03,-8.3729e-01,1.9201e-03,3.5244e-04
1.0688e+00,9.8767e-03,-8.3719e-01,1.9199e-03,3.5232e-04
1.0725e+00,9.9804e-03,-8.3709e-01,1.9197e-03,3.5221e-04
1.0763e+00,1.0085e-02,-8.3698e-01,1.9195e-03,3.5209e-04
1.0800e+00,1.0190e-02,-8.3688e-01,1.9193e-03,3.5197e-04
1.0838e+00,1.0296e-02,-8.3678e-01,1.9191e-03,3.5185e-04
1.0875e+00,1.0402e-02,-8.3667e-01,1.9188e-03,3.5174e-04
1.0913e+00,1.0510e-02,-8.3657e-01,1.9186e-03,3.5162e-04
1.0950e+00,1.0618e-02,-8.3646e-01,1.9184e-03,3.5150e-04
1.0988e+00,1.0727e-02,-8.3636e-01,1.9182e-03,3.5138e-04
