r,m,nu,rho,P
5.1375e-01,5.0031e-04,-5.7150e-01,8.7986e-04,9.5303e-05
5.1750e-01,5.1133e-04,-5.7148e-01,8.7983e-04,9.5294e-05
5.2125e-01,5.2251e-04,-5.7147e-01,8.7979e-04,9.5284e-05
5.2500e-01,5.3386e-04,-5.7145e-01,8.7976e-04,9.5275e-05
5.2875e-01,5.4537e-04,-5.7143e-01,8.7972e-04,9.5265e-05
5.3250e-01,5.5704e-04,-5.7141e-01,8.7968e-04,9.5256e-05
5.3625e-01,5.6888e-04,-5.7139e-01,8.7965e-04,9.5246e-05
5.4000e-01,5.8088e-04,-5.7137e-01,8.7961e-04,9.5237e-05
5.4375e-01,5.9305e-04,-5.7135e-01,8.7957e-04,9.5227e-05
5.4750e-01,6.0539e-04,-5.7133e-01,8.7954e-04,9.5217e-05
5.5125e-01,6.1790e-04,-5.7131e-01,8.7950e-04,9.5207e-05
5.5500e-01,6.3058e-04,-5.7129e-01,8.7946e-04,9.5198e-05
5.5875e-01,6.4343e-04,-5.7127e-01,8.7942e-04,9.5188e-05
5.6250e-01,6.5646e-04,-5.7125e-01,8.7938e-04,9.5178e-05
5.6625e-01,6.6966e-04,-5.7123e-01,8.7935e-04,9.5167e-05
5.7000e-01,6.8303e-04,-5.7121e-01,8.7931e-04,9.5157e-05
5.7375e-01,6.9658e-04,-5.7118e-01,8.7927e-04,9.5147e-05
5.7750e-01,7.1031e-04,-5.7116e-01,8.7923e-04,9.5137e-05
5.8125e-01,7.2422e-04,-5.7114e-01,8.7919e-04,9.5126e-05
5.8500e-01,7.3831e-04,-5.7112e-01,8.7915e-04,9.5116e-05
5.8875e-01,7.5257e-04,-5.7110e-01,8.7911e-04,9.5105e-05
5.9250e-01,7.6703e-04,-5.7108e-01,8.7907e-04,9.5095e-05
5.9625e-01,7.8166e-04,-5.7106e-01,8.7903e-04,9.5084e-05
6.0000e-01,7.9648e-04,-5.7103e-01,8.7899e-04,9.5074e-05
6.0375e-01,8.1148e-04,-5.7101e-01,8.7894e-04,9.5063e-05
6.0750e-01,8.2668e-04,-5.7099e-01,8.7890e-04,9.5052e-05
6.1125e-01,8.4206e-04,-5.7097e-01,8.7886e-04,9.5041e-05
6.1500e-01,8.5762e-04,-5.7094e-01,8.7882e-04,9.5030e-05
6.1875e-01,8.7338e-04,-5.7092e-01,8.7878e-04,9.5019e-05
6.2250e-01,8.8933e-04,-5.7090e-01,8.7873e-04,9.5008e-05
6.2625e-01,9.0548e-04,-5.7088e-01,8.7869e-04,9.4997e-05
6.3000e-01,9.2181e-04,-5.7085e-01,8.7865e-04,9.4986e-05
6.3375e-01,9.3834e-04,-5.7083e-01,8.7861e-04,9.4974e-05
6.3750e-01,9.5507e-04,-5.7081e-01,8.7856e-04,9.4963e-05
6.4125e-01,9.7200e-04,-5.7078e-01,8.7852e-04,9.4952e-05
6.4500e-01,9.8912e-04,-5.7076e-01,8.7847e-04,9.4940e-05
6.4875e-01,1.0064e-03,-5.7074e-01,8.7843e-04,9.4929e-05
6.5250e-01,1.0240e-03,-5.7071e-01,8.7839e-04,9.4917e-05
6.5625e-01,1.0417e-03,-5.7069e-01,8.7834e-04,9.4905e-05
6.6000e-01,1.0596e-03,-5.7066e-01,8.7830e-04,9.4893e-05
6.6375e-01,1.0777e-03,-5.7064e-01,8.7825e-04,9.4882e-05
6.6750e-01,1.0961e-03,-5.7061e-01,8.7820e-04,9.4870e-05
6.7125e-01,1.1146e-03,-5.7059e-01,8.7816e-04,9.4858e-05
6.7500e-01,1.1334e-03,-5.7057e-01,8.7811e-04,9.4846e-05
6.7875e-01,1.1523e-03,-5.7054e-01,8.7807e-04,9.4834e-05
6.8250e-01,1.1715e-03,-5.7052e-01,8.7802e-04,9.4822e-05
6.8625e-01,1.1909e-03,-5.7049e-01,8.7797e-04,9.4809e-05
6.9000e-01,1.2105e-03,-5.7047e-01,8.7792e-04,9.4797e-05
6.9375e-01,1.2303e-03,-5.7044e-01,8.7788e-04,9.4785e-05
6.9750e-01,1.2503e-03,-5.7041e-01,8.7783e-04,9.4772e-05
7.0125e-01,1.2705e-03,-5.7039e-01,8.7778e-04,9.4760e-05
7.0500e-01,1.2910e-03,-5.7036e-01,8.7773e-04,9.4747e-05
7.0875e-01,1.3116e-03,-5.7034e-01,8.7769e-04,9.4735e-05
7.1250e-01,1.3325e-03,-5.7031e-01,8.7764e-04,9.4722e-05
7.1625e-01,1.3536e-03,-5.7028e-01,8.7759e-04,9.4709e-05
7.2000e-01,1.3750e-03,-5.7026e-01,8.7754e-04,9.4696e-05
7.2375e-01,1.3965e-03,-5.7023e-01,8.7749e-04,9.4684e-05
7.2750e-01,1.4183e-03,-5.7021e-01,8.7744e-04,9.4671e-05
7.3125e-01,1.4403e-03,-5.7018e-01,8.7739e-04,9.4658e-05
7.3500e-01,1.4625e-03,-5.7015e-01,8.7734e-04,9.4645e-05
7.3875e-01,1.4849e-03,-5.7012e-01,8.7729e-04,9.4631e-05
7.4250e-01,1.5076e-03,-5.7010e-01,8.7724e-04,9.4618e-05
7.4625e-01,1.5305e-03,-5.7007e-01,8.7719e-04,9.4605e-05
7.5000e-01,1.5537e-03,-5.7004e-01,8.7714e-04,9.4592e-05
7.5375e-01,1.5770e-03,-5.7001e-01,8.7708e-04,9.4578e-05
7.5750e-01,1.6006e-03,-5.6999e-01,8.7703e-04,9.4565e-05
7.6125e-01,1.6245e-03,-5.6996e-01,8.7698e-04,9.4551e-05
7.6500e-01,1.6485e-03,-5.6993e-01,8.7693e-04,9.4538e-05
7.6875e-01,1.6728e-03,-5.6990e-01,8.7688e-04,9.4524e-05
7.7250e-01,1.6974e-03,-5.6987e-01,8.7682e-04,9.4510e-05
7.7625e-01,1.7221e-03,-5.6985e-01,8.7677e-04,9.4496e-05
7.8000e-01,1.7472e-03,-5.6982e-01,8.7672e-04,9.4483e-05
7.8375e-01,1.7724e-03,-5.6979e-01,8.7666e-04,9.4469e-05
7.8750e-01,1.7979e-03,-5.6976e-01,8.7661e-04,9.4455e-05
7.9125e-01,1.8236e-03,-5.6973e-01,8.7655e-04,9.4441e-05
7.9500e-01,1.8496e-03,-5.6970e-01,8.7650e-04,9.4426e-05
7.9875e-01,1.8759e-03,-5.6967e-01,8.7645e-04,9.4412e-05
8.0250e-01,1.9023e-03,-5.6964e-01,8.7639e-04,9.4398e-05
8.0625e-01,1.9291e-03,-5.6961e-01,8.7634e-04,9.4384e-05
8.1000e-01,1.9560e-03,-5.6958e-01,8.7628e-04,9.4369e-05
8.1375e-01,1.9832e-03,-5.6955e-01,8.7622e-04,9.4355e-05
8.1750e-01,2.0107e-03,-5.6953e-01,8.7617e-04,9.4340e-05
8.2125e-01,2.0384e-03,-5.6949e-01,8.7611e-04,9.4326e-05
8.2500e-01,2.0664e-03,-5.6946e-01,8.7606e-04,9.4311e-05
8.2875e-01,2.0946e-03,-5.6943e-01,8.7600e-04,9.4296e-05
8.3250e-01,2.1231e-03,-5.6940e-01,8.7594e-04,9.4282e-05
8.3625e-01,2.1518e-03,-5.6937e-01,8.7589e-04,9.4267e-05
