r,m,nu,rho,P
6.3000e-01,1.0316e-03,-5.9261e-01,9.8294e-04,1.0990e-04
6.3375e-01,1.0501e-03,-5.9259e-01,9.8288e-04,1.0989e-04
6.3750e-01,1.0688e-03,-5.9256e-01,9.8282e-04,1.0988e-04
6.4125e-01,1.0877e-03,-5.9253e-01,9.8276e-04,1.0986e-04
6.4500e-01,1.1069e-03,-5.9251e-01,9.8270e-04,1.0985e-04
6.4875e-01,1.1263e-03,-5.9248e-01,9.8264e-04,1.0983e-04
6.5250e-01,1.1459e-03,-5.9245e-01,9.8258e-04,1.0982e-04
6.5625e-01,1.1657e-03,-5.9243e-01,9.8252e-04,1.0980e-04
6.6000e-01,1.1857e-03,-5.9240e-01,9.8246e-04,1.0979e-04
6.6375e-01,1.2060e-03,-5.9237e-01,9.8240e-04,1.0977e-04
6.6750e-01,1.2265e-03,-5.9234e-01,9.8233e-04,1.0976e-04
6.7125e-01,1.2473e-03,-5.9232e-01,9.8227e-04,1.0974e-04
6.7500e-01,1.2682e-03,-5.9229e-01,9.8221e-04,1.0973e-04
6.7875e-01,1.2894e-03,-5.9226e-01,9.8215e-04,1.0971e-04
6.8250e-01,1.3109e-03,-5.9223e-01,9.8208e-04,1.0970e-04
6.8625e-01,1.3326e-03,-5.9220e-01,9.8202e-04,1.0968e-04
6.9000e-01,1.3545e-03,-5.9217e-01,9.8196e-04,1.0966e-04
6.9375e-01,1.3766e-03,-5.9215e-01,9.8189e-04,1.0965e-04
6.9750e-01,1.3990e-03,-5.9212e-01,9.8183e-04,1.0963e-04
7.0125e-01,1.4216e-03,-5.9209e-01,9.8176e-04,1.0962e-04
7.0500e-01,1.4445e-03,-5.9206e-01,9.8170e-04,1.0960e-04
7.0875e-01,1.4676e-03,-5.9203e-01,9.8163e-04,1.0959e-04
7.1250e-01,1.4910e-03,-5.9200e-01,9.8156e-04,1.0957e-04
7.1625e-01,1.5146e-03,-5.9197e-01,9.8150e-04,1.0955e-04
7.2000e-01,1.5384e-03,-5.9194e-01,9.8143e-04,1.0954e-04
7.2375e-01,1.5625e-03,-5.9191e-01,9.8136e-04,1.0952e-04
7.2750e-01,1.5869e-03,-5.9188e-01,9.8130e-04,1.0950e-04
7.3125e-01,1.6115e-03,-5.9185e-01,9.8123e-04,1.0949e-04
7.3500e-01,1.6363e-03,-5.9182e-01,9.8116e-04,1.0947e-04
7.3875e-01,1.6615e-03,-5.9179e-01,9.8109e-04,1.0946e-04
