a,b,rho,P
,,5.37E+12,6.64E+30
,,5.69E+12,7.18E+30
,,6.03E+12,7.77E+30
,,6.38E+12,8.40E+30
,,6.76E+12,9.08E+30
,,7.16E+12,9.82E+30
,,7.59E+12,1.06E+31
,,8.04E+12,1.15E+31
,,8.52E+12,1.24E+31
,,9.02E+12,1.34E+31
,,9.56E+12,1.45E+31
,,1.01E+13,1.57E+31
,,1.07E+13,1.70E+31
,,1.14E+13,1.83E+31
,,1.20E+13,1.98E+31
,,1.28E+13,2.14E+31
,,1.35E+13,2.32E+31
,,1.43E+13,2.51E+31
,,1.52E+13,2.71E+31
,,1.61E+13,2.93E+31
,,1.70E+13,3.17E+31
,,1.80E+13,3.43E+31
,,1.91E+13,3.70E+31
,,2.02E+13,4.00E+31
,,2.14E+13,4.33E+31
,,2.27E+13,4.68E+31
,,2.41E+13,5.06E+31
,,2.55E+13,5.47E+31
,,2.70E+13,5.92E+31
,,2.86E+13,6.40E+31
,,3.03E+13,6.92E+31
,,3.21E+13,7.48E+31
,,3.40E+13,8.09E+31
,,3.60E+13,8.75E+31
,,3.82E+13,9.46E+31
,,4.04E+13,1.02E+32
,,4.28E+13,1.11E+32
,,4.54E+13,1.20E+32
,,4.81E+13,1.29E+32
,,5.09E+13,1.40E+32
,,5.40E+13,1.51E+32
,,5.72E+13,1.63E+32
,,6.06E+13,1.77E+32
,,6.42E+13,1.91E+32
,,6.80E+13,2.07E+32
,,7.20E+13,2.23E+32
,,7.63E+13,2.41E+32
,,8.09E+13,2.61E+32
,,8.57E+13,2.82E+32
,,9.08E+13,3.05E+32
,,9.62E+13,3.30E+32
,,1.02E+14,3.57E+32
,,1.08E+14,3.86E+32
,,1.14E+14,4.17E+32
,,1.21E+14,4.51E+32
,,1.28E+14,4.88E+32
,,1.36E+14,5.27E+32
,,1.44E+14,5.70E+32
,,1.53E+14,6.16E+32
,,1.62E+14,6.67E+32
,,1.71E+14,7.21E+32
,,1.82E+14,8.80E+32
,,1.92E+14,1.07E+33
,,2.04E+14,1.31E+33
,,2.16E+14,1.59E+33
,,2.29E+14,1.94E+33
,,2.43E+14,2.37E+33
,,2.57E+14,2.89E+33
,,2.73E+14,3.53E+33
,,2.89E+14,4.30E+33
,,3.07E+14,5.24E+33
,,3.25E+14,6.39E+33
,,3.45E+14,7.80E+33
,,3.66E+14,9.51E+33
,,3.88E+14,1.16E+34
,,4.12E+14,1.41E+34
,,4.38E+14,1.72E+34
,,4.65E+14,2.10E+34
,,4.94E+14,2.56E+34
,,5.25E+14,3.13E+34
,,5.58E+14,3.84E+34
,,5.94E+14,4.72E+34
,,6.33E+14,5.79E+34
,,6.75E+14,7.12E+34
