a,b,rho,P
468,468,8.99E+09,6.58E+27
469,469,9.20E+09,6.78E+27
470,470,9.40E+09,6.98E+27
471,471,9.62E+09,7.20E+27
472,472,9.84E+09,7.41E+27
473,473,1.01E+10,7.64E+27
474,474,1.03E+10,7.87E+27
475,475,1.05E+10,8.11E+27
476,476,1.08E+10,8.36E+27
477,477,1.10E+10,8.61E+27
478,478,1.13E+10,8.87E+27
479,479,1.19E+10,9.14E+27
480,480,1.22E+10,9.42E+27
481,481,1.25E+10,9.71E+27
482,482,1.27E+10,1.00E+28
483,483,1.30E+10,1.03E+28
484,484,1.33E+10,1.06E+28
485,485,1.36E+10,1.09E+28
486,486,1.39E+10,1.13E+28
487,487,1.43E+10,1.16E+28
488,488,1.46E+10,1.20E+28
489,489,1.49E+10,1.23E+28
490,490,1.53E+10,1.27E+28
491,491,1.56E+10,1.31E+28
492,492,1.60E+10,1.35E+28
493,493,1.63E+10,1.39E+28
494,494,1.67E+10,1.43E+28
495,495,1.71E+10,1.48E+28
496,496,1.75E+10,1.52E+28
497,497,1.79E+10,1.57E+28
498,498,1.83E+10,1.62E+28
499,499,1.87E+10,1.66E+28
500,500,1.91E+10,1.72E+28
501,501,1.95E+10,1.77E+28
502,502,2.00E+10,1.82E+28
503,503,2.04E+10,1.88E+28
504,504,2.09E+10,1.93E+28
505,505,2.14E+10,1.99E+28
506,506,2.19E+10,2.05E+28
507,507,2.24E+10,2.12E+28
508,508,2.29E+10,2.18E+28
509,509,2.34E+10,2.25E+28
510,510,2.39E+10,2.31E+28
511,511,2.45E+10,2.38E+28
512,512,2.50E+10,2.46E+28
513,513,2.56E+10,2.53E+28
514,514,2.62E+10,2.61E+28
515,515,2.68E+10,2.69E+28
516,516,2.74E+10,2.77E+28
517,517,2.80E+10,2.85E+28
518,518,2.97E+10,2.94E+28
519,519,3.04E+10,3.03E+28
520,520,3.11E+10,3.12E+28
521,521,3.18E+10,3.22E+28
522,522,3.25E+10,3.32E+28
523,523,3.33E+10,3.42E+28
524,524,3.40E+10,3.52E+28
525,525,3.48E+10,3.63E+28
526,526,3.56E+10,3.74E+28
527,527,3.64E+10,3.85E+28
528,528,3.72E+10,3.97E+28
529,529,3.81E+10,4.09E+28
530,530,3.89E+10,4.21E+28
531,531,3.98E+10,4.34E+28
532,532,4.07E+10,4.47E+28
533,533,4.17E+10,4.61E+28
534,534,4.26E+10,4.75E+28
535,535,4.36E+10,4.89E+28
536,536,4.46E+10,5.04E+28
537,537,4.56E+10,5.20E+28
538,538,4.66E+10,5.35E+28
539,539,4.77E+10,5.52E+28
540,540,4.88E+10,5.68E+28
541,541,4.99E+10,5.86E+28
542,542,5.10E+10,6.04E+28
543,543,5.22E+10,6.22E+28
544,544,5.34E+10,6.41E+28
545,545,5.46E+10,6.60E+28
546,546,5.58E+10,6.80E+28
